Year, LDCurve, Hour, Meter, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "6.6 kV Losses", "0.22 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "6.6 kV Line Loss", "0.22 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "6.6 kV Load Loss", "0.22 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "6.6 kV No Load Loss", "0.22 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "6.6 kV Load Energy", "0.22 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
0, , 4, "FEEDER1"     ,       1855,         17,        430,        430,       1854,        559,        430,        445,          0,          0,          0,          0,          8,         23,          2,          6,          8,         23,          0,          0,          2,          0,          7,          1,          7,          0,          7,          0,          6,        565,          1,        132,          8,          0,          0,          0,          0,          0,          0,          7,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1255,        599,          0,          0,          0,          0,          0
0, , 4, "FEEDER2"     ,        861,        -28,        232,        232,        857,        138,        230,        233,          0,          0,          0,          0,          4,         13,          1,          4,          4,         13,          0,          0,          1,          0,          3,          1,          3,          0,          3,          0,         -0,        179,          0,         56,          4,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        365,        493,          0,          0,          0,          0,          0
0, , 4, "FEEDER1"     ,       1956,         17,        430,        430,       1955,        590,        430,        445,          0,          0,          0,          0,          8,         25,          2,          6,          8,         25,          0,          0,          2,          0,          7,          1,          7,          0,          7,          0,          7,        597,          1,        132,          8,          0,          0,          0,          0,          0,          0,          7,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1323,        631,          0,          0,          0,          0,          0
0, , 4, "FEEDER2"     ,        919,        -31,        232,        232,        915,        146,        230,        233,          0,          0,          0,          0,          4,         14,          1,          4,          4,         14,          0,          0,          1,          0,          4,          1,          4,          0,          4,          0,         -0,        190,          0,         56,          4,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        395,        520,          0,          0,          0,          0,          0
0, , 5, "FEEDER1"     ,       2058,         18,        430,        430,       2057,        623,        430,        445,          0,          0,          0,          0,          9,         26,          2,          6,          9,         26,          0,          0,          2,          0,          7,          1,          7,          0,          7,          0,          7,        630,          1,        132,          9,          0,          0,          0,          0,          0,          0,          7,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1394,        663,          0,          0,          0,          0,          0
0, , 5, "FEEDER2"     ,        977,        -33,        232,        232,        972,        153,        231,        233,          0,          0,          0,          0,          5,         15,          1,          4,          5,         15,          0,          0,          1,          0,          4,          1,          4,          0,          4,          0,         -0,        201,          0,         56,          5,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        425,        548,          0,          0,          0,          0,          0
0, , 5, "FEEDER1"     ,       2156,         17,        430,        430,       2155,        651,        430,        445,          0,          0,          0,          0,          9,         27,          2,          6,          9,         27,          0,          0,          2,          0,          8,          1,          8,          0,          8,          0,          8,        660,          1,        132,          9,          0,          0,          0,          0,          0,          0,          8,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1460,        695,          0,          0,          0,          0,          0
0, , 5, "FEEDER2"     ,       1036,        -35,        235,        235,       1031,        161,        233,        236,          0,          0,          0,          0,          5,         16,          1,          4,          5,         16,          0,          0,          1,          0,          4,          1,          4,          0,          4,          0,         -0,        212,          0,         56,          5,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        455,        575,          0,          0,          0,          0,          0
0, , 5, "FEEDER1"     ,       2260,         18,        430,        430,       2259,        681,        430,        445,          0,          0,          0,          0,          9,         28,          2,          6,          9,         28,          0,          0,          2,          0,          8,          1,          8,          0,          8,          0,          8,        691,          1,        132,          9,          0,          0,          0,          0,          0,          0,          8,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1531,        729,          0,          0,          0,          0,          0
0, , 5, "FEEDER2"     ,       1074,        -36,        235,        235,       1068,        169,        233,        236,          0,          0,          0,          0,          5,         16,          1,          4,          5,         16,          0,          0,          1,          0,          4,          1,          4,          0,          4,          0,         -0,        221,          0,         56,          5,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        466,        603,          0,          0,          0,          0,          0
